Metric,Value
Total tokens,12555
Total sentences,979
Average tokens per sentence,12.82

Feature,Count
Person=3,6513
Number=Sing,5902
Case=Nom,3191
Polarity=Pos,2076
Number[psor]=Sing,1617
Person[psor]=3,1556
Number=Plur,1062
Aspect=Perf,785
Tense=Pres,768
Tense=Past,754
VerbForm=Part,639
Case=Dat,563
Case=Loc,541
Case=Acc,502
Evident=Fh,491
Case=Gen,469
VerbForm=Vnoun,366
Person=1,304
Voice=Pass,241
Aspect=Hab,236
Polarity=Neg,220
Case=Abl,212
Aspect=Prog,209
Number[psor]=Plur,200
Person[psor]=1,200
Aspect=Imp,192
VerbForm=Conv,189
NumType=Card,185
Case=Ins,164
Person=2,147
Mood=Imp,147
Voice=Cau,131
Tense=Fut,103
Evident=Nfh,75
Mood=Cnd,64
Mood=Gen,63
Person[psor]=2,61
Mood=Pot,59
Mood=Ind,32
Aspect=Prosp,27
Mood=Opt,17
Mood=Nec,16
Mood=Des,16
PronType=Dem,15
NumType=Ord,12
PronType=Prs,10
Case=Equ,5
PronType=Loc,3
NumType=Dist,3
PronType=Ind,3
Voice=Rfl,3
Abbr=Yes,2
PronType=Int,1
Voice=Rcp,1
