Metric,Value
Total tokens,12020
Total sentences,979
Average tokens per sentence,12.28

Feature,Count
Number=Sing,5536
Case=Nom,3053
Polarity=Pos,1888
Person=3,1609
Number[psor]=Sing,1603
Person[psor]=3,1480
Mood=Ind,1391
Evident=Fh,1081
VerbForm=Fin,1057
Number=Plur,1029
Tense=Past,753
Tense=Pres,731
Aspect=Perf,712
Case=Dat,552
Case=Acc,475
Case=Gen,471
Case=Loc,460
VerbForm=Vnoun,454
VerbForm=Part,368
Aspect=Prog,310
Person=1,298
Definite=Ind,274
PronType=Art,261
Aspect=Hab,234
Polarity=Neg,228
PronType=Dem,217
NumType=Card,211
Case=Abl,196
Number[psor]=Plur,194
VerbForm=Conv,193
Voice=Pass,190
PronType=Prs,188
Person[psor]=1,185
Definite=Def,155
Person=2,154
Case=Ins,151
PronType=Ind,121
Tense=Fut,121
Aspect=Imp,121
Person[psor]=2,121
Evident=Nfh,107
PronType=Int,106
Mood=Gen,99
Mood=Imp,76
Mood=Pot,53
Reflex=Yes,47
Degree=Cmp,42
Tense=Pqp,40
Mood=Cnd,40
Mood=GenPot,35
Degree=Sup,28
PronType=Neg,27
Voice=Cau,21
Polite=Form,19
Mood=Des,17
Mood=Opt,15
Mood=CndGen,14
Voice=CauPass,13
Mood=Nec,10
Aspect=Prosp,8
Mood=GenNec,8
NumType=Ord,6
PronType=Rcp,5
NumType=Dist,4
Mood=CndGenPot,2
Voice=Rfl,2
Typo=Yes,1
Mood=CndPot,1
