Metric,Value
Total tokens,12404
Total sentences,979
Average tokens per sentence,12.67

Feature,Count
Person=3,6502
Number=Sing,5892
Case=Nom,3205
Polarity=Pos,2017
Number[psor]=Sing,1606
Person[psor]=3,1566
Number=Plur,1039
Tense=Pres,786
Tense=Past,712
Aspect=Perf,643
VerbForm=Part,616
Case=Loc,576
Case=Dat,546
Case=Gen,504
Case=Acc,467
Evident=Fh,393
VerbForm=Vnoun,307
Person=1,289
Voice=Pass,267
Number[psor]=Plur,256
Case=Abl,248
Aspect=Hab,241
Aspect=Prog,240
Person[psor]=1,212
NumType=Card,210
Polarity=Neg,202
Aspect=Imp,196
VerbForm=Conv,168
Mood=Imp,144
Person=2,140
Case=Ins,135
Evident=Nfh,111
Tense=Fut,110
Voice=Cau,101
Person[psor]=2,84
Mood=Cnd,55
Mood=Pot,52
Mood=Gen,49
Mood=Ind,44
NumType=Ord,28
Mood=Opt,26
Mood=Des,15
Mood=Nec,12
PronType=Dem,10
Case=Equ,8
PronType=Prs,8
Aspect=Prosp,5
NumType=Dist,5
Abbr=Yes,3
PronType=Loc,2
Polite=Infm,2
PronType=Ind,1
Typo=Yes,1
Voice=CauPass,1
