Metric,Value
Total tokens,12012
Total sentences,979
Average tokens per sentence,12.27

Feature,Count
Number=Sing,5475
Case=Nom,2981
Polarity=Pos,1869
Number[psor]=Sing,1571
Person=3,1531
Person[psor]=3,1505
Mood=Ind,1405
Evident=Fh,1038
Number=Plur,1006
VerbForm=Fin,974
Tense=Pres,786
Tense=Past,715
Aspect=Perf,671
Case=Dat,544
Case=Gen,505
Case=Loc,485
VerbForm=Vnoun,467
Case=Acc,457
VerbForm=Part,426
Aspect=Prog,317
Definite=Ind,313
Person=1,301
PronType=Art,298
NumType=Card,250
Aspect=Hab,247
Number[psor]=Plur,243
Case=Abl,235
Polarity=Neg,233
PronType=Dem,232
Person[psor]=1,194
Voice=Pass,187
VerbForm=Conv,187
Definite=Def,162
PronType=Prs,160
Person=2,139
Evident=Nfh,128
Case=Ins,122
Tense=Fut,112
Aspect=Imp,112
Person[psor]=2,109
PronType=Ind,103
Mood=Gen,92
PronType=Int,90
Mood=Imp,63
Mood=Pot,47
Degree=Cmp,44
Mood=Cnd,39
PronType=Neg,39
Reflex=Yes,37
Tense=Pqp,35
Degree=Sup,32
Mood=GenPot,29
Voice=Cau,29
Mood=Opt,26
Mood=CndGen,17
Mood=Des,13
NumType=Ord,10
Polite=Form,10
PronType=Rcp,9
Mood=Nec,8
Voice=CauPass,8
NumType=Dist,6
Mood=GenNec,6
Aspect=Prosp,4
Voice=Rfl,4
