Metric,Value
Total tokens,103627
Total sentences,7803
Average tokens per sentence,13.28

Feature,Count
Person=3,51871
Number=Sing,47151
Case=Nom,23353
Polarity=Pos,17872
Number[psor]=Sing,13204
Person[psor]=3,12729
Number=Plur,8334
Case=Acc,6373
Tense=Past,6345
VerbForm=Part,6029
Tense=Pres,5635
Aspect=Perf,5479
Case=Dat,4454
Case=Loc,4444
Case=Gen,4094
Evident=Fh,3525
Person=1,2447
VerbForm=Vnoun,2217
Aspect=Hab,2173
Voice=Pass,2077
Aspect=Imp,1930
Case=Abl,1844
NumType=Card,1676
Person[psor]=1,1629
Polarity=Neg,1604
Number[psor]=Plur,1593
VerbForm=Conv,1405
PronType=Prs,1336
Case=Ins,1204
Person=2,1166
Aspect=Prosp,839
Voice=Cau,830
Tense=Fut,766
Mood=Imp,674
Evident=Nfh,666
Mood=Pot,564
Aspect=Prog,497
Person[psor]=2,439
PronType=Dem,430
Mood=Cnd,324
Mood=Gen,312
PronType=Int,273
Reflex=Yes,264
Mood=Ind,259
Mood=Nec,134
PronType=Loc,128
Voice=Rfl,123
NumType=Ord,118
Mood=Opt,118
Mood=Des,107
Abbr=Yes,91
Voice=CauPass,51
Case=Equ,47
NumType=Dist,17
Voice=Rcp,16
Mood=GenNec,7
Mood=GenPot,4
PronType=Rcp,4
PronType=Ind,4
Typo=Yes,3
Voice=PassPass,3
Echo=Rdp,2
Voice=CauCau,2
Voice=PassRfl,1
Mood=DesPot,1
