Metric,Value
Total tokens,97361
Total sentences,7803
Average tokens per sentence,12.48

Feature,Count
Number=Sing,44969
Case=Nom,25263
Polarity=Pos,14631
Number[psor]=Sing,13272
Person[psor]=3,12353
Person=3,12231
Mood=Ind,11073
Evident=Fh,8460
Number=Plur,8126
VerbForm=Fin,7931
Tense=Past,6101
Tense=Pres,5906
Aspect=Perf,5852
Case=Dat,4403
Case=Gen,4017
Case=Loc,3639
Case=Acc,3549
VerbForm=Vnoun,3433
VerbForm=Part,3223
Person=1,2447
Aspect=Prog,2373
Definite=Ind,2313
PronType=Art,2138
Aspect=Hab,1890
NumType=Card,1881
Polarity=Neg,1827
PronType=Dem,1753
Case=Abl,1644
Number[psor]=Plur,1541
Person[psor]=1,1521
VerbForm=Conv,1513
PronType=Prs,1511
Voice=Pass,1386
Definite=Def,1283
Person=2,1196
Case=Ins,1148
PronType=Ind,932
Evident=Nfh,892
Person[psor]=2,871
Mood=Gen,860
Tense=Fut,830
Aspect=Imp,828
PronType=Int,732
Mood=Imp,641
Mood=Pot,368
Tense=Pqp,319
Mood=GenPot,316
Degree=Cmp,298
Reflex=Yes,292
Degree=Sup,279
Mood=Cnd,269
PronType=Neg,240
Voice=Cau,229
Mood=Des,155
Mood=CndGen,134
Polite=Form,125
Mood=Opt,124
Mood=Nec,103
Voice=CauPass,54
NumType=Ord,44
PronType=Rcp,43
Aspect=Prosp,42
Mood=GenNec,38
NumType=Dist,17
Voice=Rfl,17
Voice=Rcp,6
Mood=DesPot,6
Mood=GenPotPot,4
Aspect=Rapid,3
Typo=Yes,3
Mood=CndGenPot,3
Mood=NecPot,2
Mood=CndPot,2
Aspect=Dur,1
Voice=PassPass,1
