Metric,Value
Total tokens,16812
Total sentences,2880
Average tokens per sentence,5.84

Feature,Count
Number=Sing,8155
Case=Nom,3700
Polarity=Pos,2802
Person=3,2695
Mood=Ind,2456
VerbForm=Fin,2363
Evident=Fh,2270
Number=Plur,1522
Number[psor]=Sing,1486
Tense=Past,1419
Person[psor]=3,1330
Tense=Pres,1310
Aspect=Perf,1300
Person=1,988
Case=Acc,845
Case=Dat,779
Aspect=Prog,703
Polarity=Neg,648
Case=Loc,598
PronType=Dem,575
Person=2,502
Case=Gen,499
VerbForm=Vnoun,498
PronType=Prs,490
Definite=Def,450
Aspect=Hab,421
Definite=Ind,417
PronType=Int,403
VerbForm=Part,365
PronType=Art,359
Evident=Nfh,341
Person[psor]=1,340
NumType=Card,337
Number[psor]=Plur,335
Case=Abl,308
Tense=Fut,268
Aspect=Imp,267
PronType=Ind,232
Case=Ins,157
Person[psor]=2,150
Voice=Pass,142
Mood=Pot,116
Mood=GenPot,108
PronType=Neg,102
VerbForm=Conv,100
Mood=Imp,95
Reflex=Yes,93
Degree=Cmp,87
Mood=Des,87
Tense=Pqp,70
Mood=Opt,65
Mood=Cnd,56
Mood=Gen,55
Mood=CndGen,47
Voice=Cau,40
Degree=Sup,39
Mood=Nec,28
Aspect=Prosp,23
NumType=Dist,19
PronType=Rcp,18
Polite=Form,17
NumType=Ord,9
Voice=CauPass,8
Voice=Rfl,6
Mood=DesPot,4
Mood=GenPotPot,2
Aspect=Rapid,1
Typo=Yes,1
Mood=GenNec,1
Mood=CndPot,1
Aspect=Dur,1
Voice=Rcp,1
Mood=CndGenPot,1
