Metric,Value
Total tokens,10821
Total sentences,1100
Average tokens per sentence,9.84

Feature,Count
Person=3,4901
Number=Sing,4781
Case=Nom,2411
Mood=Ind,1928
Polarity=Pos,1836
Aspect=Perf,1785
Number[psor]=Sing,1370
Person[psor]=3,1321
Tense=Pres,1182
Tense=Past,848
Number=Plur,734
Case=Dat,527
VerbForm=Part,502
Case=Acc,427
Case=Gen,421
Case=Loc,408
Person=1,401
Aspect=Prog,259
VerbForm=Vnoun,258
Polite=Infm,254
Polarity=Neg,231
Voice=Pass,222
Person=2,213
Case=Abl,207
Number[psor]=Plur,187
Person[psor]=1,184
Aspect=Hab,171
PronType=Prs,170
NumType=Card,165
Case=Ins,142
Tense=Fut,127
VerbForm=Conv,119
Evident=Nfh,102
Voice=Cau,101
Mood=Imp,91
Mood=Pot,90
Tense=Pqp,67
Person[psor]=2,52
PronType=Dem,35
Reflex=Yes,29
Mood=Gen,29
Abbr=Yes,28
Mood=Opt,28
Mood=Cnd,26
Voice=CauPass,25
PronType=Ind,21
Mood=Nec,15
Mood=Des,14
NumType=Ord,12
Echo=Rdp,9
Aspect=Prosp,8
Case=Equ,5
Polite=Form,5
NumType=Dist,3
Aspect=Rapid,1
Mood=CndPot,1
Mood=Prs,1
Mood=DesPot,1
