Metric,Value
Total tokens,10260
Total sentences,1100
Average tokens per sentence,9.33

Feature,Count
Number=Sing,4818
Case=Nom,2326
Polarity=Pos,1727
Mood=Ind,1451
Number[psor]=Sing,1368
Person=3,1327
Person[psor]=3,1291
VerbForm=Fin,1137
Evident=Fh,1137
Tense=Past,831
Aspect=Perf,814
Number=Plur,754
Tense=Pres,635
Case=Dat,515
Case=Gen,419
Person=1,403
Case=Acc,385
VerbForm=Part,354
VerbForm=Vnoun,320
Case=Loc,316
Aspect=Prog,295
Polarity=Neg,243
Definite=Ind,226
Person=2,203
PronType=Art,202
PronType=Dem,186
PronType=Prs,181
Case=Abl,180
Person[psor]=1,175
Aspect=Hab,166
PronType=Int,158
Voice=Pass,153
Number[psor]=Plur,145
NumType=Card,135
Tense=Fut,130
Case=Ins,130
Aspect=Imp,130
VerbForm=Conv,122
Definite=Def,109
Evident=Nfh,93
Mood=Imp,86
PronType=Ind,74
Tense=Pqp,66
Mood=Pot,66
Person[psor]=2,44
PronType=Neg,34
Degree=Cmp,32
Mood=Opt,30
Reflex=Yes,29
Mood=Gen,28
Voice=Cau,24
Mood=Cnd,21
Mood=GenPot,20
Mood=CndGen,16
Mood=Des,14
Mood=Nec,12
Degree=Sup,9
PronType=Rcp,8
Aspect=Prosp,7
Voice=CauPass,4
NumType=Dist,3
Polite=Form,3
NumType=Ord,2
Mood=CndGenPot,1
Mood=DesPot,1
Voice=Rfl,1
