Metric,Value
Total tokens,10310
Total sentences,1100
Average tokens per sentence,9.37

Feature,Count
Person=3,4462
Number=Sing,4382
Case=Nom,2109
Mood=Ind,1871
Polarity=Pos,1711
Aspect=Perf,1609
Tense=Pres,1110
Number[psor]=Sing,1102
Person[psor]=3,1020
Tense=Past,905
Number=Plur,811
Case=Dat,514
Person=1,505
Case=Acc,461
Case=Gen,404
VerbForm=Part,376
Case=Loc,314
Aspect=Prog,304
Polite=Infm,300
PronType=Prs,273
Polarity=Neg,237
Person=2,226
Aspect=Hab,219
VerbForm=Vnoun,210
Person[psor]=1,202
NumType=Card,192
Case=Abl,184
Voice=Pass,173
Number[psor]=Plur,164
VerbForm=Conv,154
Case=Ins,127
Mood=Pot,101
Voice=Cau,90
Evident=Nfh,77
Tense=Fut,75
PronType=Dem,75
Mood=Imp,55
Tense=Pqp,49
Person[psor]=2,44
PronType=Ind,32
Mood=Des,31
Mood=Gen,29
Reflex=Yes,23
Mood=Cnd,21
Abbr=Yes,20
Mood=Opt,20
Voice=CauPass,10
Mood=Nec,8
Case=Equ,7
Aspect=Prosp,5
Polite=Form,4
Echo=Rdp,3
Aspect=Rapid,2
Mood=NecPot,1
Mood=CndPot,1
Mood=DesPot,1
