Metric,Value
Total tokens,9750
Total sentences,1100
Average tokens per sentence,8.86

Feature,Count
Number=Sing,4406
Case=Nom,1970
Polarity=Pos,1597
Mood=Ind,1409
Person=3,1345
Evident=Fh,1237
VerbForm=Fin,1136
Number[psor]=Sing,1101
Person[psor]=3,961
Tense=Past,883
Number=Plur,812
Aspect=Perf,805
Tense=Pres,614
Person=1,501
Case=Dat,501
Case=Acc,460
Case=Gen,401
Aspect=Prog,356
PronType=Prs,294
VerbForm=Vnoun,274
Definite=Ind,271
Case=Loc,265
Polarity=Neg,262
PronType=Art,261
VerbForm=Part,241
Aspect=Hab,207
Person=2,201
Person[psor]=1,189
Case=Abl,163
VerbForm=Conv,160
PronType=Dem,159
PronType=Int,145
Case=Ins,127
NumType=Card,126
Number[psor]=Plur,114
Definite=Def,110
Voice=Pass,101
PronType=Ind,94
Tense=Fut,82
Aspect=Imp,82
Evident=Nfh,69
Mood=Pot,64
Person[psor]=2,63
Tense=Pqp,48
PronType=Neg,41
Mood=Imp,37
Mood=GenPot,34
Degree=Cmp,33
Mood=Des,30
Mood=Gen,29
Reflex=Yes,23
Mood=Opt,20
Mood=Cnd,17
Voice=Cau,16
PronType=Rcp,15
Degree=Sup,11
Mood=CndGen,7
Mood=Nec,6
Polite=Form,4
Voice=CauPass,4
Aspect=Prosp,3
NumType=Ord,2
Aspect=Rapid,1
Mood=NecPot,1
Voice=Rcp,1
Mood=CndGenPot,1
Mood=DesPot,1
