Metric,Value
Total tokens,38604
Total sentences,3435
Average tokens per sentence,11.24

Feature,Count
Person=3,17502
Number=Sing,16668
Case=Nom,8816
Mood=Ind,6502
Polarity=Pos,6262
Aspect=Perf,6052
Number[psor]=Sing,4596
Person[psor]=3,4321
Tense=Pres,4239
Tense=Past,2893
Number=Plur,2719
Case=Dat,1713
VerbForm=Part,1686
Case=Acc,1682
Case=Gen,1507
Case=Loc,1411
Person=1,1340
VerbForm=Vnoun,948
Aspect=Prog,798
Aspect=Hab,786
Polarity=Neg,778
Polite=Infm,772
PronType=Prs,746
NumType=Card,677
Case=Abl,669
Voice=Pass,664
Person[psor]=1,663
Number[psor]=Plur,632
Person=2,545
VerbForm=Conv,521
Evident=Nfh,458
Case=Ins,455
Tense=Fut,390
Voice=Cau,346
Mood=Pot,301
Mood=Gen,301
Mood=Imp,261
PronType=Dem,249
Person[psor]=2,244
Tense=Pqp,151
Reflex=Yes,126
PronType=Ind,105
Voice=CauPass,101
Mood=Cnd,97
Mood=Opt,92
Abbr=Yes,85
Mood=Des,80
Mood=Nec,28
Case=Equ,26
Polite=Form,26
Aspect=Prosp,24
NumType=Ord,20
Aspect=Rapid,8
NumType=Dist,5
Echo=Rdp,5
Mood=GenNec,4
Mood=CndPot,3
Aspect=Dur,3
Mood=DesPot,2
Mood=GenPot,1
Mood=GenNecPot,1
Mood=Prs,1
