Metric,Value
Total tokens,36436
Total sentences,3435
Average tokens per sentence,10.61

Feature,Count
Number=Sing,16714
Case=Nom,8296
Polarity=Pos,5936
Person=3,5094
Mood=Ind,4815
Number[psor]=Sing,4567
Person[psor]=3,4268
Evident=Fh,3842
VerbForm=Fin,3735
Tense=Past,2838
Number=Plur,2799
Aspect=Perf,2665
Tense=Pres,2234
Case=Dat,1646
Case=Acc,1547
Case=Gen,1502
Person=1,1305
VerbForm=Vnoun,1170
VerbForm=Part,1126
Case=Loc,1108
Aspect=Prog,964
Polarity=Neg,862
Definite=Ind,824
Aspect=Hab,775
PronType=Art,762
PronType=Prs,760
PronType=Dem,747
Person[psor]=1,643
Case=Abl,603
Definite=Def,582
VerbForm=Conv,572
Number[psor]=Plur,563
Person=2,502
NumType=Card,498
Voice=Pass,473
Evident=Nfh,447
Case=Ins,442
Tense=Fut,403
Aspect=Imp,403
PronType=Ind,353
PronType=Int,297
Mood=Gen,293
Mood=Imp,230
Person[psor]=2,210
Mood=Pot,155
Tense=Pqp,149
Degree=Cmp,128
Mood=GenPot,125
Reflex=Yes,125
Mood=Cnd,106
PronType=Neg,95
Mood=Opt,92
Degree=Sup,90
Voice=Cau,84
Mood=Des,73
Mood=CndGen,48
Mood=Nec,27
Aspect=Prosp,23
PronType=Rcp,20
Polite=Form,19
Voice=CauPass,19
Voice=Rfl,19
NumType=Ord,9
Mood=GenNec,4
Aspect=Rapid,3
Mood=CndPot,2
Mood=DesPot,2
NumType=Dist,1
Mood=GenNecPot,1
Mood=CndGenPot,1
Voice=PassPass,1
