Metric,Value
Total tokens,16540
Total sentences,1000
Average tokens per sentence,16.54

Feature,Count
Number=Sing,8127
Case=Nom,4683
Person[psor]=3,2421
Number[psor]=Sing,2346
Polarity=Pos,2333
Person=3,2046
Mood=Ind,1602
Number=Plur,1155
Evident=Fh,1141
VerbForm=Fin,1055
Tense=Past,1011
Aspect=Perf,996
Tense=Pres,810
Case=Loc,777
Case=Gen,770
Case=Dat,728
VerbForm=Vnoun,654
Case=Acc,633
VerbForm=Part,550
NumType=Card,473
Definite=Ind,464
PronType=Art,423
Aspect=Prog,332
Case=Abl,297
Voice=Pass,292
PronType=Dem,269
Mood=Gen,247
VerbForm=Conv,208
Aspect=Hab,188
Definite=Def,187
Evident=Nfh,183
Polarity=Neg,180
Case=Ins,170
Number[psor]=Plur,159
PronType=Ind,158
Tense=Fut,106
Aspect=Imp,106
Degree=Cmp,81
Person=1,76
PronType=Prs,56
Degree=Sup,55
Mood=GenPot,53
Person[psor]=1,48
Reflex=Yes,44
PronType=Int,42
Mood=Pot,39
NumType=Ord,38
Tense=Pqp,37
Polite=Form,33
Mood=Cnd,33
Person[psor]=2,22
Voice=Cau,20
Person=2,17
Mood=CndGen,14
Voice=CauPass,13
PronType=Neg,11
Mood=Imp,9
PronType=Rcp,5
Aspect=Prosp,4
Mood=Nec,4
Mood=Des,3
Mood=Opt,3
Mood=GenNec,2
Voice=Rfl,2
Mood=PotPot,1
Typo=Yes,1
Mood=DesPot,1
